"","UniqueID","state_code","district_code"
"2013.3796","AP_1_01100000","AP",1
"2013.4336","AP_1_01100100","AP",1
"2013.4656","AP_1_01101800","AP",1
"2013.5226","AP_1_01101900","AP",1
"2013.51010","AP_1_01102000","AP",1
"2013.5486","AP_1_01102100","AP",1
"2013.8826","AP_1_01105800","AP",1
"2013.8796","AP_1_01106200","AP",1
"2013.9056","AP_1_01106300","AP",1
"2013.9406","AP_1_01106400","AP",1
"2013.9726","AP_1_01106700","AP",1
"2013.9276","AP_1_01107200","AP",1
"2013.97110","AP_1_01107300","AP",1
"2013.6126","AP_1_01107400","AP",1
"2013.5420","AP_1_01107500","AP",1
"2013.8220","AP_1_01107700","AP",1
"2013.6320","AP_1_01107800","AP",1
"2013.7220","AP_1_01107900","AP",1
"2013.9920","AP_1_01108000","AP",1
"2013.8420","AP_1_01108100","AP",1
"2013.10020","AP_1_01108300","AP",1
"2013.10720","AP_1_01108400","AP",1
"2013.11220","AP_1_01108500","AP",1
"2013.11520","AP_1_01108600","AP",1
"2013.13019","AP_1_01108800","AP",1
"2013.12819","AP_1_01108900","AP",1
"2013.14718","AP_1_01109000","AP",1
"2013.19616","AP_1_01109200","AP",1
"2013.22116","AP_1_01109300","AP",1
"2013.23916","AP_1_01109400","AP",1
"2013.26016","AP_1_01109500","AP",1
"2013.24616","AP_1_01109700","AP",1
"2013.25816","AP_1_01109900","AP",1
"2013.24416","AP_1_01110000","AP",1
"2013.25716","AP_1_01110100","AP",1
"2013.26316","AP_1_01110200","AP",1
"2013.28815","AP_1_01110300","AP",1
"2013.24216","AP_1_01110400","AP",1
"2013.28116","AP_1_01110500","AP",1
"2013.28915","AP_1_01110600","AP",1
"2013.28415","AP_1_01110700","AP",1
"2013.27416","AP_1_01110800","AP",1
"2013.24916","AP_1_01110900","AP",1
"2013.24116","AP_1_01111000","AP",1
"2013.27016","AP_1_01111100","AP",1
"2013.27516","AP_1_01111200","AP",1
"2013.29015","AP_1_01111300","AP",1
"2013.27116","AP_1_01111400","AP",1
"2013.27716","AP_1_01111500","AP",1
"2013.29615","AP_1_01111600","AP",1
"2013.29815","AP_1_01111700","AP",1
"2013.3306","AP_1_01111800","AP",1
"2013.31315","AP_1_01111900","AP",1
"2013.30915","AP_1_01112000","AP",1
"2013.31715","AP_1_01112100","AP",1
"2013.41110","AP_1_01112200","AP",1
"2013.4886","AP_1_01112300","AP",1
"2013.4896","AP_1_01112400","AP",1
"2013.3776","AP_1_01112500","AP",1
"2013.3636","AP_1_01112600","AP",1
"2013.3546","AP_1_01112700","AP",1
"2013.31615","AP_1_01112800","AP",1
"2013.3626","AP_1_01112900","AP",1
"2013.31115","AP_1_01113000","AP",1
"2013.3746","AP_1_01113100","AP",1
"2013.29315","AP_1_01113800","AP",1
"2013.30815","AP_1_01113900","AP",1
"2013.32015","AP_1_01114000","AP",1
"2013.3396","AP_1_01114100","AP",1
"2013.3446","AP_1_01114200","AP",1
"2013.29715","AP_1_01114300","AP",1
"2013.3526","AP_1_01114900","AP",1
"2013.3656","AP_1_01115000","AP",1
"2013.3376","AP_1_01115100","AP",1
"2013.3836","AP_1_01115200","AP",1
"2013.41010","AP_1_01115300","AP",1
"2013.4236","AP_1_01115400","AP",1
"2013.4196","AP_1_01115500","AP",1
"2013.3906","AP_1_01115600","AP",1
"2013.3956","AP_1_01115700","AP",1
"2013.39110","AP_1_01115800","AP",1
"2013.3586","AP_1_01115900","AP",1
"2013.3386","AP_1_01116000","AP",1
"2013.3706","AP_1_01116100","AP",1
"2013.3596","AP_1_01116200","AP",1
"2013.3756","AP_1_01116300","AP",1
"2013.3496","AP_1_01116400","AP",1
"2013.3606","AP_1_01116500","AP",1
"2013.3846","AP_1_01116600","AP",1
"2013.4286","AP_1_01116700","AP",1
"2013.4546","AP_1_01116800","AP",1
"2013.4026","AP_1_01116900","AP",1
"2013.4846","AP_1_01117000","AP",1
"2013.5156","AP_1_01117100","AP",1
