"state_code","district_code","UniqueID","total_area_ha","agriculture_area_ha","urban_area_ha","agriculture_percent","urban_percent"
"AP",4,"AP_4_01818900",1.2590474165656e-08,1.54096799999999e-10,NA,1.22391577928288,NA
"AP",4,"AP_4_01795100",3.72971798050861e-08,1.54096799999999e-10,NA,0.413159388472007,NA
"AP",4,"AP_4_01801600",5.70034310742126e-08,1.54096799999999e-10,NA,0.270328990897724,NA
"AP",4,"AP_4_01817900",2.24180006097017e-08,1.54096799999999e-10,NA,0.687379765407407,NA
"AP",4,"AP_4_01795500",4.00989647212391e-08,1.54096799999999e-10,NA,0.384291218167981,NA
"AP",4,"AP_4_01803700",6.87979452024017e-09,1.54096799999999e-10,NA,2.23984596555391,NA
"AP",4,"AP_4_01796800",4.89577406732525e-08,1.54096799999999e-10,NA,0.314754720869273,NA
"AP",4,"AP_4_01794900",8.03385050998188e-09,1.54096799999999e-10,NA,1.91809394273066,NA
"AP",4,"AP_4_01801500",3.00665791401607e-08,1.54096799999999e-10,NA,0.512518565153851,NA
"AP",4,"AP_4_01819200",1.17702306586757e-08,1.54096799999999e-10,NA,1.30920798808998,NA
"AP",4,"AP_4_01819300",4.7453779644452e-08,1.54096799999999e-10,NA,0.324730297891065,NA
"AP",4,"AP_4_01819100",2.87365405370101e-08,1.54096799999999e-10,NA,0.536239913087436,NA
"AP",4,"AP_4_01800900",8.43892547831439e-08,1.54096799999999e-10,NA,0.182602394577346,NA
"AP",4,"AP_4_01795400",1.11546601664206e-08,1.54096799999999e-10,NA,1.38145669792688,NA
"AP",4,"AP_4_01803500",5.47659458671434e-09,1.54096799999999e-10,NA,2.81373392826669,NA
"AP",4,"AP_4_01799600",1.10117416005902e-07,1.54096799999999e-10,NA,0.139938626957737,NA
"AP",4,"AP_4_01820100",5.97460137762673e-08,1.54096799999999e-10,NA,0.257919801272516,NA
"AP",4,"AP_4_01799700",2.64570098035624e-08,1.54096799999999e-10,NA,0.582442237970708,NA
"AP",4,"AP_4_01799800",1.30138624581495e-07,1.54096799999999e-10,NA,0.118409734616106,NA
"AP",4,"AP_4_01817800",1.96176845844443e-08,1.54096799999999e-10,NA,0.785499426992461,NA
"AP",4,"AP_4_01819400",5.24431497298457e-08,1.54096799999999e-10,NA,0.293835898098815,NA
"AP",4,"AP_4_01799900",1.03123399169675e-08,1.54096799999999e-10,NA,1.49429519624788,NA
"AP",4,"AP_4_01819900",5.08447547215029e-08,1.54096799999999e-10,NA,0.303073150503033,NA
"AP",4,"AP_4_01819500",5.90449597522012e-08,1.54096799999999e-10,NA,0.260982140807122,NA
"AP",4,"AP_4_01762900",4.40357403654337e-08,1.54096799999999e-10,NA,0.349935753824542,NA
"AP",4,"AP_4_01820000",1.55703904030503e-08,1.54096799999999e-10,NA,0.989678460276824,NA
"AP",4,"AP_4_01811100",2.11857451143805e-08,1.54096799999999e-10,NA,0.727360775691578,NA
"AP",4,"AP_4_01795600",3.32429982625198e-09,1.54096799999999e-10,NA,4.63546635544414,NA
"AP",4,"AP_4_01819800",1.45369446561437e-08,1.54096799999999e-10,NA,1.06003567905773,NA
"AP",4,"AP_4_01803400",3.50997995235197e-09,1.54096799999999e-10,NA,4.39024729747363,NA
"AP",4,"AP_4_01820200",2.18747048624308e-08,1.54096799999999e-10,NA,0.704452018754574,NA
"AP",4,"AP_4_01803800",4.53511302245762e-08,1.54096799999999e-10,NA,0.339786019084685,NA
"AP",4,"AP_4_01819700",2.37781596101016e-08,1.54096799999999e-10,NA,0.64806024741517,NA
"AP",4,"AP_4_01795700",1.12891256890853e-08,1.54096799999999e-10,NA,1.36500207583821,NA
"AP",4,"AP_4_01800000",2.8922499269775e-08,1.54096799999999e-10,NA,0.532792130315775,NA
"AP",4,"AP_4_01800100",7.73507353194664e-08,1.54096799999999e-10,NA,0.1992182742201,NA
"AP",4,"AP_4_01795800",1.32569951705941e-08,1.54096799999999e-10,NA,1.16238105254656,NA
"AP",4,"AP_4_01762200",2.90889840965935e-08,1.54096799999999e-10,NA,0.529742803971088,NA
"AP",4,"AP_4_01795900",4.0845629721799e-08,1.54096799999999e-10,NA,0.377266309883229,NA
"AP",4,"AP_4_01801700",7.18985204474646e-08,1.54096799999999e-10,NA,0.214325411762256,NA
"AP",4,"AP_4_01762800",1.75978501790716e-08,1.54096799999999e-10,NA,0.875656960548849,NA
"AP",4,"AP_4_01820700",2.67903445491943e-08,1.54096799999999e-10,NA,0.575195289918855,NA
"AP",4,"AP_4_01811300",3.33124611142667e-08,1.54096799999999e-10,NA,0.462580052165536,NA
"AP",4,"AP_4_01800600",1.19177006429542e-08,1.54096799999999e-10,NA,1.2930078092799,NA
"AP",4,"AP_4_01796100",3.23485558475046e-08,1.54096799999999e-10,NA,0.476363769456761,NA
"AP",4,"AP_4_01820300",1.18797403223066e-08,1.54096799999999e-10,NA,1.29713946449361,NA
"AP",4,"AP_4_01762700",2.75824104185e-08,1.54096799999999e-10,NA,0.558677786538347,NA
"AP",4,"AP_4_01802200",1.52509885860613e-07,1.54096799999999e-10,NA,0.101040531982849,NA
"AP",4,"AP_4_01803300",1.8752569410724e-08,1.54096799999999e-10,NA,0.821736993075069,NA
"AP",4,"AP_4_01820400",8.44888887959441e-08,1.54096799999999e-10,NA,0.182387059643038,NA
"AP",4,"AP_4_01803900",6.55739027013035e-09,1.54096799999999e-10,NA,2.34997146199955,NA
"AP",4,"AP_4_01800800",1.60263674098689e-07,1.54096799999999e-10,NA,0.0961520449762727,NA
"AP",4,"AP_4_01819600",3.39461108816316e-08,1.54096799999999e-10,NA,0.453945373999769,NA
"AP",4,"AP_4_01811800",5.28239052157085e-08,1.54096799999999e-10,NA,0.291717924622836,NA
"AP",4,"AP_4_01820800",2.29529763079621e-08,1.54096799999999e-10,NA,0.671358685394296,NA
"AP",4,"AP_4_01820600",6.65155759307654e-08,1.54096799999999e-10,NA,0.231670248424812,NA
"AP",4,"AP_4_01763000",1.52403203378768e-08,1.54096799999999e-10,NA,1.01111260514007,NA
"AP",4,"AP_4_01820900",2.54700947218518e-08,1.54096799999999e-10,NA,0.605010706410106,NA
"AP",4,"AP_4_01800500",5.50661744929142e-08,1.54096799999999e-10,NA,0.279839305016235,NA
"AP",4,"AP_4_01829600",1.55484162880295e-08,1.54096799999999e-10,NA,0.991077143455671,NA
"AP",4,"AP_4_01800700",3.37196547833626e-08,1.54096799999999e-10,NA,0.456994002429795,NA
"AP",4,"AP_4_01800400",2.3523986035193e-08,1.54096799999999e-10,NA,0.655062453146599,NA
"AP",4,"AP_4_01800300",2.38594303126636e-08,1.54096799999999e-10,NA,0.645852805287686,NA
"AP",4,"AP_4_01762300",1.42991547289297e-08,1.54096799999999e-10,NA,1.0776637005559,NA
"AP",4,"AP_4_01801800",2.16158600055876e-08,1.54096799999999e-10,NA,0.712887666556709,NA
"AP",4,"AP_4_01796000",4.07566396654888e-08,1.54096799999999e-10,NA,0.378090051743108,NA
"AP",4,"AP_4_01763200",2.7783935298041e-08,1.54096799999999e-10,NA,0.554625535752898,NA
"AP",4,"AP_4_01804000",7.16645530679758e-09,1.54096799999999e-10,NA,2.15025132234947,NA
"AP",4,"AP_4_01762500",1.23060493567518e-08,1.54096799999999e-10,NA,1.25220365637045,NA
"AP",4,"AP_4_01788900",9.87407652466712e-09,1.54096799999999e-10,NA,1.56061986774195,NA
"AP",4,"AP_4_01801900",2.47171950728948e-08,1.54096799999999e-10,NA,0.623439672444805,NA
"AP",4,"AP_4_01829300",1.01995400094991e-08,1.54096799999999e-10,NA,1.51082107483753,NA
"AP",4,"AP_4_01762600",1.98223243156822e-08,1.54096799999999e-10,NA,0.777390166490652,NA
"AP",4,"AP_4_01807500",9.39280509579225e-08,1.54096799999999e-10,NA,0.164058338726767,NA
"AP",4,"AP_4_01803200",2.59861794726258e-08,1.54096799999999e-10,NA,0.59299521179066,NA
"AP",4,"AP_4_01807600",1.27954694040518e-07,1.54096799999999e-10,NA,0.120430751802824,NA
"AP",4,"AP_4_01763100",2.30708293831509e-08,1.54096799999999e-10,NA,0.667929173419915,NA
"AP",4,"AP_4_01800200",4.2113783584141e-08,1.54096799999999e-10,NA,0.365905855245995,NA
"AP",4,"AP_4_01811500",1.45517746416587e-08,1.54096799999999e-10,NA,1.05895537688477,NA
"AP",4,"AP_4_01811700",3.78147398440587e-08,1.54096799999999e-10,NA,0.407504588516189,NA
"AP",4,"AP_4_01789200",3.49590099458723e-08,1.54096799999999e-10,NA,0.4407928034535,NA
"AP",4,"AP_4_01763300",5.41106939539893e-08,1.54096799999999e-10,NA,0.284780675943702,NA
"AP",4,"AP_4_01820500",5.28406241975429e-08,1.54096799999999e-10,NA,0.291625623921309,NA
"AP",4,"AP_4_01762400",2.39322510349347e-09,1.54096799999999e-10,NA,6.43887613309164,NA
"AP",4,"AP_4_01821100",1.59080799486169e-08,1.54096799999999e-10,NA,0.968670012331666,NA
"AP",4,"AP_4_01763500",2.64941907436855e-08,1.54096799999999e-10,NA,0.581624860675261,NA
"AP",4,"AP_4_01789900",5.63293663505503e-08,1.54096799999999e-10,NA,0.273563879701787,NA
"AP",4,"AP_4_01804100",1.44258699262229e-08,1.54096799999999e-10,NA,1.06819762543322,NA
"AP",4,"AP_4_01829400",1.56021061319117e-08,1.54096799999999e-10,NA,0.987666656649753,NA
"AP",4,"AP_4_01789000",1.30303046304901e-08,1.54096799999999e-10,NA,1.18260320360754,NA
"AP",4,"AP_4_01763600",1.79468760991984e-08,1.54096799999999e-10,NA,0.858627424339779,NA
"AP",4,"AP_4_01804400",3.53042993570447e-08,1.54096799999999e-10,NA,0.43648168298587,NA
"AP",4,"AP_4_01804600",6.50664348736455e-08,1.54096799999999e-10,NA,0.236829942041921,NA
"AP",4,"AP_4_01804200",8.73339992666941e-09,1.54096799999999e-10,NA,1.76445372127559,NA
"AP",4,"AP_4_01802100",1.29530913926935e-07,1.54096799999999e-10,NA,0.118965268852283,NA
"AP",4,"AP_4_01811600",3.82561305810735e-08,1.54096799999999e-10,NA,0.402802891090703,NA
"AP",4,"AP_4_01812200",5.29560992222196e-08,1.54096799999999e-10,NA,0.290989710842111,NA
"AP",4,"AP_4_01829500",7.94566495856641e-09,1.54096799999999e-10,NA,1.93938205050872,NA
"AP",4,"AP_4_01804500",1.25878909627863e-07,1.54096799999999e-10,NA,0.122416694310076,NA
"AP",4,"AP_4_01803100",2.812395508951e-08,1.54096799999999e-10,NA,0.54792008986487,NA
"AP",4,"AP_4_01764100",1.87892703763721e-08,1.54096799999999e-10,NA,0.82013189928747,NA
"AP",4,"AP_4_01763700",7.46404892973677e-08,1.54096799999999e-10,NA,0.206452022823801,NA
"AP",4,"AP_4_01821200",2.60641742635023e-08,1.54096799999999e-10,NA,0.591220724823731,NA
"AP",4,"AP_4_01821000",6.96891996261467e-09,1.54096799999999e-10,NA,2.21120059961462,NA
"AP",4,"AP_4_01763400",2.01649159592079e-08,1.54096799999999e-10,NA,0.764182703819469,NA
"AP",4,"AP_4_01829200",2.1519644536708e-08,1.54096799999999e-10,NA,0.716075025017918,NA
"AP",4,"AP_4_01802000",2.10423854357187e-08,1.54096799999999e-10,NA,0.732316212297988,NA
"AP",4,"AP_4_01821400",1.54922899380608e-08,1.54096799999999e-10,NA,0.994667674153325,NA
"AP",4,"AP_4_01789300",2.24166446707619e-08,1.54096799999999e-10,NA,0.687421343663388,NA
"AP",4,"AP_4_01804800",7.78523540601983e-08,1.54096799999999e-10,NA,0.197934669876321,NA
"AP",4,"AP_4_01811900",1.57223548778436e-08,1.54096799999999e-10,NA,0.9801127197374,NA
"AP",4,"AP_4_01802300",1.14624314728439e-07,1.54096799999999e-10,NA,0.134436398040918,NA
"AP",4,"AP_4_01804300",1.79741348103938e-08,1.54096799999999e-10,NA,0.857325271149575,NA
"AP",4,"AP_4_01812000",8.50964437538575e-08,1.54096799999999e-10,NA,0.181084888160221,NA
"AP",4,"AP_4_01829900",4.5744706128303e-08,1.54096799999999e-10,NA,0.336862585952118,NA
"AP",4,"AP_4_01764200",5.12730847999017e-08,1.54096799999999e-10,NA,0.300541308566427,NA
"AP",4,"AP_4_01821300",9.49318872069857e-08,1.54096799999999e-10,NA,0.162323540101981,NA
"AP",4,"AP_4_01822300",6.54083303732873e-08,1.54096799999999e-10,NA,0.235592009642447,NA
"AP",4,"AP_4_01789600",1.81626724546172e-07,1.54096799999999e-10,NA,0.0848425805095799,NA
"AP",4,"AP_4_01830800",2.00822809081324e-07,1.54096799999999e-10,NA,0.076732718113507,NA
"AP",4,"AP_4_01789800",2.84909842155187e-08,1.54096799999999e-10,NA,0.540861624275035,NA
"AP",4,"AP_4_01764000",3.41741500309332e-08,1.54096799999999e-10,NA,0.450916262322591,NA
"AP",4,"AP_4_01763800",1.44259105462334e-08,1.54096799999999e-10,NA,1.06819461763703,NA
"AP",4,"AP_4_01821600",1.3519354767063e-08,1.54096799999999e-10,NA,1.1398236280878,NA
"AP",4,"AP_4_41401000",6.17555653607798e-08,1.54096799999999e-10,NA,0.249526984490799,NA
"AP",4,"AP_4_01821500",1.66225649651165e-08,1.54096799999999e-10,NA,0.927033826147653,NA
"AP",4,"AP_4_01829800",3.3040355953294e-08,1.54096799999999e-10,NA,0.466389648519013,NA
"AP",4,"AP_4_01789400",8.46910846265807e-08,1.54096799999999e-10,NA,0.181951619440749,NA
"AP",4,"AP_4_01804700",1.83967658671594e-08,1.54096799999999e-10,NA,0.837629837291569,NA
"AP",4,"AP_4_01805500",6.18903459519598e-08,1.54096799999999e-10,NA,0.248983581574436,NA
"AP",4,"AP_4_01812300",6.08849547870167e-08,1.54096799999999e-10,NA,0.253095038895978,NA
"AP",4,"AP_4_01829700",1.83880997906386e-08,1.54096799999999e-10,NA,0.838024601533048,NA
"AP",4,"AP_4_01830000",2.75980352526131e-08,1.54096799999999e-10,NA,0.558361486930154,NA
"AP",4,"AP_4_01812100",2.16009744956165e-08,1.54096799999999e-10,NA,0.713378926637174,NA
"AP",4,"AP_4_01763900",4.01686716080753e-08,1.54096799999999e-10,NA,0.383624336655982,NA
"AP",4,"AP_4_01789700",1.74812502381159e-08,1.54096799999999e-10,NA,0.881497592569252,NA
"AP",4,"AP_4_01830100",3.46336347779174e-08,1.54096799999999e-10,NA,0.444933952177181,NA
"AP",4,"AP_4_01764500",1.18731000512893e-08,1.54096799999999e-10,NA,1.29786491593882,NA
"AP",4,"AP_4_01805000",6.69260002223048e-08,1.54096799999999e-10,NA,0.230249528566092,NA
"AP",4,"AP_4_01789500",1.84484543857787e-08,1.54096799999999e-10,NA,0.835282982398712,NA
"AP",4,"AP_4_01830300",4.64138546530435e-08,1.54096799999999e-10,NA,0.33200603817958,NA
"AP",4,"AP_4_01821900",6.78498404060574e-08,1.54096799999999e-10,NA,0.227114461991043,NA
"AP",4,"AP_4_01812400",1.16606430039745e-07,1.54096799999999e-10,NA,0.1321512029375,NA
"AP",4,"AP_4_01802400",2.99900875676492e-07,1.54096799999999e-10,NA,0.05138257754413,NA
"AP",4,"AP_4_01804900",8.33774097863437e-08,1.54096799999999e-10,NA,0.184818406322378,NA
"AP",4,"AP_4_01812500",4.30969610485245e-08,1.54096799999999e-10,NA,0.357558389851421,NA
"AP",4,"AP_4_01807700",6.16710148735279e-08,1.54096799999999e-10,NA,0.249869084068121,NA
"AP",4,"AP_4_01764600",2.91506597642031e-08,1.54096799999999e-10,NA,0.528621997740266,NA
"AP",4,"AP_4_01830400",4.39011895739382e-08,1.54096799999999e-10,NA,0.351008256257998,NA
"AP",4,"AP_4_01764400",1.01020149916267e-07,1.54096799999999e-10,NA,0.152540656619224,NA
"AP",4,"AP_4_01821700",1.6399834909262e-08,1.54096799999999e-10,NA,0.939624092880168,NA
"AP",4,"AP_4_01805200",2.31214946936757e-08,1.54096799999999e-10,NA,0.666465563933234,NA
"AP",4,"AP_4_01814400",1.56785151511278e-08,1.54096799999999e-10,NA,0.982853277332923,NA
"AP",4,"AP_4_01802500",1.19279279197024e-07,1.54096799999999e-10,NA,0.129189915496943,NA
"AP",4,"AP_4_01805400",2.8904769552639e-08,1.54096799999999e-10,NA,0.533118936372663,NA
"AP",4,"AP_4_01764300",3.23542399877937e-08,1.54096799999999e-10,NA,0.476280079699399,NA
"AP",4,"AP_4_01805100",3.8497895306301e-08,1.54096799999999e-10,NA,0.400273310460111,NA
"AP",4,"AP_4_01812600",4.04119340237069e-08,1.54096799999999e-10,NA,0.381315083582985,NA
"AP",4,"AP_4_01805600",4.01825992558694e-08,1.54096799999999e-10,NA,0.383491369034545,NA
"AP",4,"AP_4_01805300",2.88654354696721e-08,1.54096799999999e-10,NA,0.533845401923359,NA
"AP",4,"AP_4_01807900",2.91868511418259e-08,1.54096799999999e-10,NA,0.527966512218826,NA
"AP",4,"AP_4_01764700",5.19898652185975e-08,1.54096799999999e-10,NA,0.29639776781894,NA
"AP",4,"AP_4_01814300",6.78534358124231e-08,1.54096799999999e-10,NA,0.227102427688393,NA
"AP",4,"AP_4_01807800",9.39341195949694e-08,1.54096799999999e-10,NA,0.164047739697186,NA
"AP",4,"AP_4_01822200",3.83749256902841e-08,1.54096799999999e-10,NA,0.401555956729874,NA
"AP",4,"AP_4_01830200",1.08941401202535e-08,1.54096799999999e-10,NA,1.41449254644259,NA
"AP",4,"AP_4_01831200",5.09031553928547e-08,1.54096799999999e-10,NA,0.302725437766534,NA
"AP",4,"AP_4_01830500",8.38043750245757e-08,1.54096799999999e-10,NA,0.183876796354378,NA
"AP",4,"AP_4_01764800",4.41452355645511e-08,1.54096799999999e-10,NA,0.349067794133007,NA
"AP",4,"AP_4_01831000",2.24942747627483e-08,1.54096799999999e-10,NA,0.685048980797508,NA
"AP",4,"AP_4_01821800",5.25584462014383e-08,1.54096799999999e-10,NA,0.293191315834184,NA
"AP",4,"AP_4_01805900",2.43329094298571e-08,1.54096799999999e-10,NA,0.633285552819746,NA
"AP",4,"AP_4_01805700",2.12248751210685e-08,1.54096799999999e-10,NA,0.726019819297015,NA
"AP",4,"AP_4_01764900",1.67198843109187e-08,1.54096799999999e-10,NA,0.921637955947862,NA
"AP",4,"AP_4_01830600",2.41383646816611e-08,1.54096799999999e-10,NA,0.638389559658415,NA
"AP",4,"AP_4_01806000",1.5925293926405e-07,1.54096799999999e-10,NA,0.0967622956989808,NA
"AP",4,"AP_4_01813800",4.1302209340993e-08,1.54096799999999e-10,NA,0.373095779762695,NA
"AP",4,"AP_4_01822000",1.95612697094783e-08,1.54096799999999e-10,NA,0.787764814291845,NA
"AP",4,"AP_4_01831100",3.23114711984128e-08,1.54096799999999e-10,NA,0.476910503560011,NA
"AP",4,"AP_4_01806400",5.69192051617353e-08,1.54096799999999e-10,NA,0.270729008885725,NA
"AP",4,"AP_4_01813600",1.95194050035561e-08,1.54096799999999e-10,NA,0.789454391524357,NA
"AP",4,"AP_4_01805800",2.71769051916994e-08,1.54096799999999e-10,NA,0.567013789513693,NA
"AP",4,"AP_4_01813500",3.28888044568774e-08,1.54096799999999e-10,NA,0.468538770395393,NA
