UniqueID,Surge_A26_,Surge_A29_,Surge_A37_,Surge_A38_,Surge_A39_,Surge_A50_,Surge_A33_,Surge_A41_,Surge_A48_,Surge_A34_,Surge_A44_,Surge_A43_,Surge_A55_,Surge_A47_,Surge_A12_,Surge_A46_,Duplicate
OD_1_01171900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01171400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01171500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01170500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01171800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01184600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01171700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01184800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01257000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01256900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01176300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01172700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01184900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01185800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01175600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01187800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01188200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01173600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01186600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01179600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
