UniqueID,NEAR_DIST
TN_1_00011600,18819.19456
TN_1_00011900,9510.132196
TN_1_00014100,232.8707521
TN_1_00007500,27166.98175
TN_1_00006900,31470.05024
TN_1_00011700,15739.80111
TN_1_00006000,31234.98506
TN_1_00013400,17841.21504
TN_1_00013000,12998.86345
TN_1_00007900,23050.57855
TN_1_00012900,9758.493427
TN_1_00007800,25015.94108
TN_1_00013900,4328.95811
TN_1_00006300,34150.98789
TN_1_00014000,1637.438565
TN_1_00013600,7489.64391
TN_1_00013100,15216.7762
TN_1_00013800,6470.083851
TN_1_00013300,19112.51075
TN_1_00013700,7529.27135
TN_1_00013200,16821.21652
TN_1_00006800,31778.13496
TN_1_00007400,28203.69262
TN_1_00016300,25192.24669
TN_1_40102000,27338.29215
TN_1_00023000,36706.35414
TN_1_00022600,41176.48533
TN_1_00022700,39839.46243
TN_1_00007000,30482.44054
TN_1_00022900,38361.39293
TN_1_40103000,16272.91564
TN_1_00022700,42353.97018
TN_1_40107000,45286.55431
TN_1_00016200,23988.13901
TN_1_00022800,39581.75129
TN_1_00024200,43787.20673
TN_1_00008100,20272.23362
TN_1_00014200,773.7751779
TN_1_00016400,26274.78711
TN_1_00013500,12330.67485
TN_1_00014900,12363.73084
TN_1_00014600,8368.786491
TN_1_00016600,24594.73003
TN_1_00016100,23524.15955
TN_1_00006400,34256.68705
TN_1_00039300,90769.05697
TN_1_00014500,6738.484915
TN_1_00007100,30703.14515
TN_1_00006700,31829.20615
TN_1_00014400,4662.592825
TN_1_00007300,28298.43557
TN_1_00023700,36036.10607
TN_1_00039400,87977.8425
TN_1_00007200,29566.00535
TN_1_00039000,94672.27655
TN_1_00016000,23308.42837
TN_1_00014700,8551.918958
TN_1_00025000,46059.58545
TN_1_00015900,22248.24745
TN_1_00015100,10227.04489
TN_1_00024900,47253.02467
TN_1_00014800,9692.834338
TN_1_00015700,18628.0166
TN_1_00006500,32880.89115
TN_1_00024100,42292.755
TN_1_00023800,37227.24293
TN_1_00016500,26863.94593
TN_1_00015000,11690.39063
TN_1_00024800,48894.69176
TN_1_00024000,40288.98631
TN_1_00006600,32472.11587
TN_1_00023600,36275.3182
TN_1_00023400,34485.82531
TN_1_00023100,30765.98426
TN_1_00023900,38506.00661
TN_1_00015600,16223.65516
TN_1_00038900,97121.92701
TN_1_00014300,1032.369455
TN_1_00025100,45711.05078
TN_1_00043000,59070.9961
TN_1_00023500,35073.15278
TN_1_00039100,93830.62596
TN_1_00026200,31357.78712
TN_1_00015200,8470.762919
TN_1_00025900,36012.55946
TN_1_00023300,33416.00401
TN_1_00015800,21141.33624
TN_1_00025600,37241.80074
TN_1_00015500,11609.10003
TN_1_00024300,44482.95069
TN_1_00026400,28934.06139
TN_1_00026500,28756.05153
TN_1_00026300,30031.52468
TN_1_00016900,13830.87941
TN_1_00017600,16919.70104
TN_1_00025300,41450.44704
TN_1_00015400,8926.781502
TN_1_00026600,26702.93739
TN_1_00015300,7954.411993
TN_1_00025800,35335.1662
TN_1_00016800,19602.36295
TN_1_00023200,32361.01798
TN_1_00028100,48276.28422
TN_1_00026000,33353.32385
TN_1_00025200,44479.50836
TN_1_00039600,85333.70006
TN_1_00025500,37296.59002
TN_1_00016700,22771.29735
TN_1_00026700,24683.81151
TN_1_00028200,53194.48643
TN_1_00025700,35634.90482
TN_1_00026100,32513.22205
TN_1_00025400,39412.50909
TN_1_00017100,9840.755322
TN_1_00027100,32769.70907
TN_1_00017300,6309.919005
TN_1_00027000,30370.83618
TN_1_00026800,26380.119
TN_1_00043100,59992.942
TN_1_00027800,45469.10768
TN_1_00017700,21338.4476
TN_1_00017200,8726.775734
TN_1_00026900,28528.83903
TN_1_00039700,87707.47648
TN_1_00027600,42217.55647
