"UniqueID","saline_pixel_count","saline_area_m2","State","District","Year"
"AP_1_01134100",0,0,"AP",1,2013
"AP_1_01134000",0,0,"AP",1,2013
"AP_1_01134300",0,0,"AP",1,2013
"AP_1_01151400",0,0,"AP",1,2013
"AP_1_01152200",1,900,"AP",1,2013
"AP_1_01134700",0,0,"AP",1,2013
"AP_1_01137000",0,0,"AP",1,2013
"AP_1_01132000",0,0,"AP",1,2013
"AP_1_01131800",0,0,"AP",1,2013
"AP_1_01152000",52.8419570922852,47557.7613830566,"AP",1,2013
"AP_1_01132100",3051.92578125,2746733.203125,"AP",1,2013
"AP_1_01132700",1,900,"AP",1,2013
"AP_1_01151500",0,0,"AP",1,2013
"AP_1_01134200",0,0,"AP",1,2013
"AP_1_01135200",2.62302470207214,2360.72223186493,"AP",1,2013
"AP_1_01131900",0,0,"AP",1,2013
"AP_1_01136900",0,0,"AP",1,2013
"AP_1_01133100",0,0,"AP",1,2013
"AP_1_01152100",5.3979926109314,4858.19334983826,"AP",1,2013
"AP_1_01132900",0,0,"AP",1,2013
"AP_1_01133000",0,0,"AP",1,2013
"AP_1_01132500",0,0,"AP",1,2013
"AP_1_01135100",1,900,"AP",1,2013
"AP_1_01132800",0,0,"AP",1,2013
"AP_1_01152300",0,0,"AP",1,2013
"AP_1_01135000",0,0,"AP",1,2013
"AP_1_01135700",0,0,"AP",1,2013
"AP_1_01134900",3,2700,"AP",1,2013
"AP_1_01132400",0,0,"AP",1,2013
"AP_1_01135300",2,1800,"AP",1,2013
"AP_1_01132300",95.8349990844727,86251.4991760254,"AP",1,2013
"AP_1_01135600",0,0,"AP",1,2013
"AP_1_01132600",0,0,"AP",1,2013
"AP_1_01109200",55.1300010681152,49617.0009613037,"AP",1,2013
"AP_1_01152400",0,0,"AP",1,2013
"AP_1_01137100",0,0,"AP",1,2013
"AP_1_01135500",0,0,"AP",1,2013
"AP_1_01132200",1743.7001953125,1569330.17578125,"AP",1,2013
"AP_1_01135400",0,0,"AP",1,2013
"AP_1_01136400",0.376975357532501,339.277821779251,"AP",1,2013
"AP_1_01135800",0,0,"AP",1,2013
"AP_1_01137200",3.12383246421814,2811.44921779633,"AP",1,2013
"AP_1_01136800",0,0,"AP",1,2013
"AP_1_01136500",1,900,"AP",1,2013
"AP_1_01136700",0,0,"AP",1,2013
"AP_1_01135900",0,0,"AP",1,2013
"AP_1_01125200",1842.38317871094,1658144.86083984,"AP",1,2013
"AP_1_01137900",3,2700,"AP",1,2013
"AP_1_01136100",0,0,"AP",1,2013
"AP_1_01137600",0,0,"AP",1,2013
"AP_1_01137500",0,0,"AP",1,2013
"AP_1_01137700",0,0,"AP",1,2013
"AP_1_01136600",0,0,"AP",1,2013
"AP_1_01136000",0,0,"AP",1,2013
"AP_1_01136300",5,4500,"AP",1,2013
