UniqueID,NEAR_DIST
AP_1_01143700,8284.712777
AP_1_01147500,2327.769128
AP_1_01107700,73458.72734
AP_1_01143300,10827.62007
AP_1_01108100,71615.17761
AP_1_01147400,2118.493976
AP_1_01143600,8426.34173
AP_1_01143900,7377.162967
AP_1_01143200,9304.759743
AP_1_01143100,8472.24815
AP_1_01144100,5189.095534
AP_1_01144000,6455.82438
AP_1_01147300,1723.410113
AP_1_01142800,7381.331999
AP_1_01143000,8995.412981
AP_1_01144200,3734.993435
AP_1_01130700,14083.67778
AP_1_01147200,1386.851528
AP_1_41103000,5171.968921
AP_1_01108000,73109.47173
AP_1_01108300,71335.273
AP_1_01130600,16245.94922
AP_1_01142900,7419.033993
AP_1_01144500,2373.741053
AP_1_01142700,5954.630137
AP_1_01142500,8587.206436
AP_1_01149200,13569.45937
AP_1_01108400,69667.41235
AP_1_01149300,11828.71911
AP_1_01150400,832.0023349
AP_1_01144300,3182.146052
AP_1_01142400,9019.814358
AP_1_01108500,69578.51023
AP_1_01144400,2261.651693
AP_1_01142600,6386.805746
AP_1_01108600,68279.84147
AP_1_01150100,3483.524779
AP_1_01150200,3793.347238
AP_1_01150300,2137.156729
AP_1_01149900,6338.282542
AP_1_01131400,15652.97447
AP_1_01149700,10097.30884
AP_1_01150000,4567.817749
AP_1_01149600,9369.163255
AP_1_01149400,11720.76302
AP_1_01149800,7930.52544
AP_1_01130800,11319.82808
AP_1_01131200,11258.71571
AP_1_01108900,65044.34678
AP_1_01131300,13163.42877
AP_1_01108800,66989.97027
AP_1_01130900,10660.9635
AP_1_01131100,11000.04603
AP_1_01150500,233.8577294
AP_1_01149500,10109.6878
AP_1_01131500,17482.6935
AP_1_01150600,1783.491722
AP_1_01150800,4641.180843
AP_1_01151000,7042.046452
AP_1_01150900,5140.520195
AP_1_01151100,9078.993824
AP_1_01150700,2511.465303
AP_1_01133500,10254.69883
AP_1_01151200,9289.414755
AP_1_01133600,8065.864247
AP_1_01133300,11570.22609
AP_1_01133200,12322.42183
AP_1_01109000,63804.78889
AP_1_01133400,10010.59498
AP_1_01131600,17557.08551
AP_1_01133700,8544.776818
AP_1_01134400,7748.504902
AP_1_01151800,1641.189557
AP_1_01131000,5957.696414
AP_1_01133900,9841.150275
AP_1_01133800,8496.590491
AP_1_01134600,6421.866921
AP_1_01151600,4120.281732
AP_1_01151700,2139.143612
AP_1_01134500,6969.161341
AP_1_01151300,5357.910276
AP_1_01151900,712.9797353
AP_1_01134800,7836.887687
AP_1_01134100,9325.170783
AP_1_01134000,10289.98538
AP_1_01134300,8382.416224
AP_1_01151400,5513.975023
AP_1_01152200,3383.733277
AP_1_01134700,7013.493494
AP_1_01137000,4591.72924
AP_1_01132000,16899.06572
AP_1_01131800,16187.47375
AP_1_01152000,466.3647788
AP_1_01132100,17510.34418
AP_1_01132700,14538.80103
AP_1_01151500,4713.933299
AP_1_01134200,8713.924047
AP_1_01135200,9724.170382
AP_1_01131900,16315.81927
AP_1_01136900,6137.450624
AP_1_01133100,11293.26094
AP_1_01152100,1079.815658
AP_1_01132900,13062.91728
AP_1_01133000,12255.37775
AP_1_01132500,15667.86203
AP_1_01135100,8745.981058
AP_1_01132800,13227.18953
AP_1_01152300,2118.891875
AP_1_01135000,8037.151902
AP_1_01135700,12381.45686
AP_1_01134900,7446.12951
AP_1_01132400,15155.75809
AP_1_01135300,10692.91294
AP_1_01132300,15868.73097
AP_1_01135600,11718.09522
AP_1_01132600,12600.08604
AP_1_01109200,58164.03878
AP_1_01152400,1238.019786
AP_1_01137100,2872.965587
AP_1_01135500,11249.42866
AP_1_01132200,16372.07167
AP_1_01135400,10403.40297
AP_1_01136400,9513.134499
AP_1_01135800,11670.35139
AP_1_01137200,711.8847399
AP_1_01136800,6710.006442
AP_1_01136500,8559.840057
AP_1_01136700,7712.595968
AP_1_01135900,10817.02553
AP_1_01125200,15878.5586
AP_1_01137900,7188.787949
AP_1_01136100,9156.075719
AP_1_01137600,2934.193742
AP_1_01137500,1706.683949
AP_1_01137700,5539.403187
AP_1_01136600,8177.926199
AP_1_01136000,9282.144155
AP_1_01136300,8114.78348
AP_1_01119100,16433.74298
AP_1_01125300,14512.77918
AP_1_01125400,12938.79771
AP_1_01109300,56052.46785
AP_1_01137800,5493.698803
AP_1_01137400,1597.420366
AP_1_01138300,3474.349857
AP_1_01137300,705.6148314
AP_1_01095600,61599.29649
AP_1_01138000,7034.781637
AP_1_01138400,1261.49899
AP_1_01138100,5290.816114
AP_1_01125500,12931.21886
AP_1_01125600,14654.418
AP_1_01136200,8254.881247
AP_1_01127600,8136.030443
AP_1_01126300,10970.84145
AP_1_01119000,16489.50128
AP_1_01125700,14698.56121
AP_1_01127900,6761.348748
AP_1_41101000,6945.763312
AP_1_01109400,55014.44319
AP_1_01127700,6887.480076
AP_1_01111000,51818.76097
AP_1_01110400,41911.31455
AP_1_01127800,6277.001447
AP_1_01110000,46357.98496
AP_1_01126100,13710.36776
AP_1_01109700,51157.13383
AP_1_01138500,1086.208603
AP_1_01128000,5441.599127
AP_1_01110900,49066.77501
AP_1_01138700,1381.144173
AP_1_01125800,14804.31252
AP_1_01095900,55597.03963
AP_1_01125900,13984.99151
AP_1_01126200,12188.33225
AP_1_01138600,804.7908043
AP_1_01138200,3918.778836
AP_1_01110100,45744.13336
AP_1_01109900,47721.39063
AP_1_01128100,5545.943536
AP_1_01109500,53619.5764
AP_1_01126400,10005.99374
AP_1_01118800,14553.8121
AP_1_01110200,42557.19006
AP_1_01126900,11830.49123
AP_1_01095800,56906.88158
AP_1_01126000,12932.62895
AP_1_01118300,23892.36174
AP_1_01154100,2091.390709
AP_1_01095700,60580.46171
AP_1_01111100,51343.31988
